"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Модель;"Characteristics:Операционная система";"Characteristics:Материал корпуса";"Characteristics:Количество SIM-карт";"Characteristics:Тип экрана";Characteristics:Диагональ;"Characteristics:Размер изображения";"Characteristics:Число пикселей на дюйм (PPI)";"Characteristics:Соотношение сторон";"Characteristics:Тыловая камера";"Characteristics:Тип корпуса";"Characteristics:Тип дисплея";Characteristics:Яркость;Characteristics:Звук;"Characteristics:Макс. время работы";"Characteristics:Класс водонепроницаемости";"Characteristics:Материал ремешка";Characteristics:Вид;Characteristics:Тип;"Characteristics:Количество микрофонов";"Characteristics:Вес наушника";"Characteristics:Голосовой набор";"Characteristics:Ответить/закончить разговор";"Characteristics:Время работы";Characteristics:Материал;"Characteristics:Активное шумоподавление";Characteristics:Особенности;"Characteristics:Комплект поставки";Characteristics:Спецификации;"Characteristics:Системные требования";Characteristics:Процессор;Characteristics:Экран;Characteristics:Разрешение;"Characteristics:Число пикселей на дюйм";Characteristics:Bluetooth;"Characteristics:Встроенные динамики";"Characteristics:Технология дисплея";"Characteristics:Full HD";Characteristics:Частота;"Characteristics:Количество ядер";"Characteristics:Объем видеопамяти";"Characteristics:Количество Thunderbolt 3 (USB-C)";"Characteristics:Количество USB 3.0";Weight;Length;Width;Height
541832243621;;;;"iPhone 12";"Apple iPhone 12, 128 ГБ, (PRODUCT)RED, Ростест";;;https://static.tildacdn.com/tild6339-3533-4635-a334-363061656363/iphone_12_red_0.jpeg;;;;;;Fi1xf4trob9NSobJjaAZ;;"iPhone 12";"IOS 14";Алюминий;1;"OLED, True Tone, сенсорный";"6.1 дюйм";2532x1170;460;19.5:9;"Двойная 12МП + 12МП";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
962321792861;;0103;;;"Apple iPhone 12, 128 ГБ, (PRODUCT)RED, Ростест / Красный- Красный- 128- Ростест";;;;67990.00;123;;"Цвет:Красный;Объем памяти:128;Регион поставки:Ростест";;ootoIGkyR7dvJAXRgXES;541832243621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
837511187131;;;;"iPhone 12";"Apple iPhone 12, 256 ГБ, (PRODUCT)RED, Ростест";;;https://static.tildacdn.com/tild6339-3533-4635-a334-363061656363/iphone_12_red_0.jpeg;;;;;;lZEtyfs336dpPE16ssSu;;"iPhone 12";"IOS 14";Алюминий;1;"OLED, True Tone, сенсорный";"6.1 дюйм";2532x1170;460;19.5:9;"Двойная 12МП + 12МП";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
685133844151;;0109;;;"Apple iPhone 12, 256 ГБ, (PRODUCT)RED, Ростест / Красный- Красный- 256- Ростест";;;;78990.00;123;;"Цвет:Красный;Объем памяти:256;Регион поставки:Ростест";;j6uiXmZj58kYJIjOMbs0;837511187131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
399616635921;;;;"iPhone 12";"Apple iPhone 12, 64 ГБ, (PRODUCT)RED, Америка";;;https://static.tildacdn.com/tild6339-3533-4635-a334-363061656363/iphone_12_red_0.jpeg;;;;;;resGLYU0LBmmyYtTEiX1;;"iPhone 12";"IOS 14";Алюминий;1;"OLED, True Tone, сенсорный";"6.1 дюйм";2532x1170;460;19.5:9;"Двойная 12МП + 12МП";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
394906109401;;0115;;;"Apple iPhone 12, 64 ГБ, (PRODUCT)RED, Америка / Красный- Красный- 64- Америка";;;;58990.00;123;;"Цвет:Красный;Объем памяти:64;Регион поставки:Америка";;uR8RGMSx5hhbxjINa6bx;399616635921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
322568675291;;;;"iPhone 12";"Apple iPhone 12, 128 ГБ, (PRODUCT)RED, Америка";;;https://static.tildacdn.com/tild6339-3533-4635-a334-363061656363/iphone_12_red_0.jpeg;;;;;;aLBNIviHj8o5XmjKgnVT;;"iPhone 12";"IOS 14";Алюминий;1;"OLED, True Tone, сенсорный";"6.1 дюйм";2532x1170;460;19.5:9;"Двойная 12МП + 12МП";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
245547919401;;0121;;;"Apple iPhone 12, 128 ГБ, (PRODUCT)RED, Америка / Красный- Красный- 128- Америка";;;;66990.00;123;;"Цвет:Красный;Объем памяти:128;Регион поставки:Америка";;AikJ3n7okPai3t7uaXlc;322568675291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
863138053831;;;;"iPhone 12";"Apple iPhone 12, 256 ГБ, (PRODUCT)RED, Америка";;;https://static.tildacdn.com/tild6339-3533-4635-a334-363061656363/iphone_12_red_0.jpeg;;;;;;XZICz9EEZeELkTKtlJFt;;"iPhone 12";"IOS 14";Алюминий;1;"OLED, True Tone, сенсорный";"6.1 дюйм";2532x1170;460;19.5:9;"Двойная 12МП + 12МП";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
137494496801;;0127;;;"Apple iPhone 12, 256 ГБ, (PRODUCT)RED, Америка / Красный- Красный- 256- Америка";;;;77990.00;123;;"Цвет:Красный;Объем памяти:256;Регион поставки:Америка";;Hh3a1VH5JD4emvrXBDJD;863138053831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
735983241571;;;;"iPhone 12";"Apple iPhone 12, 64 ГБ, Зеленый, Ростест";;;https://static.tildacdn.com/tild3162-3464-4936-b633-623362306336/iphone_12_green_0.jpeg;;;;;;HETyv1BJdAciKmiCjrfU;;"iPhone 12";"IOS 14";Алюминий;1;"OLED, True Tone, сенсорный";"6.1 дюйм";2532x1170;460;19.5:9;"Двойная 12МП + 12МП";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
777070142971;;0098;;;"Apple iPhone 12, 64 ГБ, Зеленый, Ростест- Зеленый- 64- Ростест";;;;62990.00;123;;"Цвет:Зеленый;Объем памяти:64;Регион поставки:Ростест";;fSiI7HGICxGxDsIzdA3N;735983241571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
555885886951;;;;"iPhone 12";"Apple iPhone 12, 128 ГБ, Зеленый, Ростест";;;https://static.tildacdn.com/tild6439-3066-4534-b434-643561376237/iphone_12_green_0.jpeg;;;;;;uVMCJ2lxKdjXtHf37BS3;;"iPhone 12";"IOS 14";Алюминий;1;"OLED, True Tone, сенсорный";"6.1 дюйм";2532x1170;460;19.5:9;"Двойная 12МП + 12МП";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
933287956951;;0104;;;"Apple iPhone 12, 128 ГБ, Зеленый, Ростест- Зеленый- 128- Ростест";;;;67990.00;123;;"Цвет:Зеленый;Объем памяти:128;Регион поставки:Ростест";;GR9ouKSaOJRtm6dDsyhM;555885886951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
880635771251;;;;"iPhone 12";"Apple iPhone 12, 256 ГБ, Зеленый, Ростест";;;https://static.tildacdn.com/tild3039-6631-4730-b962-316365313662/iphone_12_green_0.jpeg;;;;;;Varu3ROp3zKhkyzH5her;;"iPhone 12";"IOS 14";Алюминий;1;"OLED, True Tone, сенсорный";"6.1 дюйм";2532x1170;460;19.5:9;"Двойная 12МП + 12МП";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
